code accident,date,heure,département,commune,massif,region,massif_unique,site,"coordonnées
 zone départ",altitude,inclinaison,orientation,groupe,emportés,"ensevelis 
 tête",décédés,blessées,indemnes,activité,activite_regrouped,évolution,BRA,"qualité 
 neige","cohésion
 neige","type 
 départ",cause départ,"dénivelé
 (mètres)","largeur 
 cassure
 (mètres)","épaisseur
 cassure max. 
 (cm)"
1516-74-07,2016-02-27,10:15,74,chamonix,mont blanc,alps,Mont-Blanc,lac du brévent,32T331433 / 5088949,2100,30-34,SO,1,1,1,1,0,0,randonnée,hiking,descente,3,sèche,dure,linéaire,accidentelle soi-même,100,75,
1011-73-07,2011-01-11,11:03,73,val isère,haute tarentaise,alps,Hte-tarent,pointe du grand vallon,"45°26'38.9"" 7°02'16.6""",2700,35-39,N,7,5,4,4,0,1,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,700,70,80
1112-74-03,2012-02-04,12:30,74,thollon les mémises,chablais,alps,Chablais,tete de neuva,32t0325929 5137421,1840,35-39,NO,4,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,300,70,50
1213-73-02,2012-12-12,12:55,73,tignes,haute tarentaise,alps,Hte-tarent,pente barthelemy aiguille percee,,2750,35-39,NO,7,4,2,1,1,0,hors-piste,"off-piste (ski, snowboard)",,4,sèche,dure,linéaire,accidentelle soi-même,250,70,100
1415-05-09,2015-02-16,,5,cervières,queyras,alps,Queyras,col perdu,"44°49'17.2"" / 6°44'30.4""",2550,35-39,NO,2,2,2,2,0,0,randonnée,hiking,descente,3,sèche,dure,linéaire,accidentelle soi-même,200,70,70
1314-73-22,2014-04-29,11:30,73,modane,haute maurienne,alps,Hte-maurie,couloir sud aiguille peclet,"45°16'51.4"" / 6°37'26.9""",3490,35-39,S,6,4,0,0,0,4,randonnée,hiking,,2,humide,dure,linéaire,accidentelle soi-même,110,70,100
1516-73-03,2016-01-05,10:24,73,val d'isere,haute tarentaise,alps,Hte-tarent,HP du Cairn / Bellevarde,"45°26'39"" / 6°57'17""",2650,40-44,E,3,3,2,2,0,0,hors-piste,"off-piste (ski, snowboard)",,4,sèche,,linéaire,accidentelle soi-même,80,70,
1213-73-09,2013-02-08,11:10,73,saint bon tarentaise,vaoise,alps,Vanoise,sous pas du roc merlet,32T 314970 / 5026393,2350,30-34,NO,3,2,1,1,0,1,hors-piste,"off-piste (ski, snowboard)",descente,2,sèche,tendre,linéaire,accidentelle soi-même,40,70,50
1516-74-11,2016-06-20,11:30,74,chamonix,mont blanc,alps,Mont-Blanc,tacul,32T0335837 / 5080822,4020,30-34,NO,2,3,1,0,1,2,alpinisme,alpinisme,descente,,sèche,tendre,linéaire,accidentelle soi-même,1200,60,80
1011-05-05,2011-03-02,16:40,5,val des prés,queyras,alps,Queyras,vallon de Vachette / secteur ombilic,,2005,35-39,NO,3,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,500,60,60
1516-73-07,2016-01-18,15:05,73,tignes,haute tarentaise,alps,Hte-tarent,couloir des gendarmes,,2600,35-39,NE,4,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,300,60,50
1213-05-15,2013-04-13,10:00,5,orcieres,champsaur,alps,Champsaur,mourre froid,"44°38'39.6"" / 6°23'53.3""",2500,30-34,NO,1,1,0,0,0,1,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,200,60,70
1011-73-09,2011-03-04,15:15,73,val isère,haute tarentaise,alps,Hte-tarent,barriere de quartz,,2400,35-39,NO,2,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,120,60,50
1516-74-03,2016-01-13,13:35,74,morzine,chablais,alps,Chablais,secteur arare,,2255,40-44,NO,5,1,0,0,0,0,piste,"piste (ski, snowboard)",descente,3,sèche,dure,linéaire,naturelle,110,60,250
1213-73-17,2013-03-18,13:10,73,montvalezan,haute tarentaise,alps,Hte-tarent,hp des ecudets,45°38'23.0'' / 6°50'41.2'',1880,35-39,SO,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,100,60,50
1213-73-21,2013-03-29,16:15,73,bourg saint maurice,vanoise,alps,Vanoise,piste rouge grand renard balise n°14,,2490,40-44,E,6,1,1,1,0,0,piste,"piste (ski, snowboard)",traversée,3,sèche,tendre,linéaire,naturelle,50,60,20
1617-05-06,2017-02-17,12:35,5,montgenèvre,thabor,alps,Thabor,couloir nord est mont chaberton,"44°57'57.8"" / 6°45'2.6""",3040,40-44,NE,3,3,0,0,0,3,randonnée,hiking,descente,3,sèche,,linéaire,,620,50,
1213-05-13,2013-03-25,13:45,5,orcieres,champsaur,alps,Champsaur,la coupa,44°37'340 / 6°18'089,2600,30-34,N,2,1,1,0,1,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,500,50,
1011-74-02,2010-12-04,13:05,74,la clusaz,aravis,alps,Aravis,combe borderan,"6°28'30"""" 45°53'10''",2350,,NO,3,3,1,0,3,0,randonnée,hiking,montée,,sèche,tendre,linéaire,accidentelle tiers,400,50,100
1516-73-15,2016-02-13,12:55,73,la perrière,vanoise,alps,Vanoise,les lanches,"45°24'40"" / 6°35""55""",2150,40-44,N,1,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",descente,,sèche,tendre,linéaire,accidentelle soi-même,380,50,
1415-04-01,2015-02-08,11:20,4,le vernet,ubaye,alps,Ubaye,sommet grisonniere,32T293313 / 4904154,1910,35-39,NO,4,1,0,0,0,1,randonnée,hiking,traversée,3,sèche,dure,linéaire,accidentelle soi-même,360,50,30
1617-73-10,2017-02-13,10:35,73,tignes,haute-tarentaise,alps,Hte-tarent,pentes du lavachet,"45°27'54.74"" / 6°55'6.35""",2450,40-44,NO,4,4,4,4,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,330,50,100
1314-73-10,2014-01-07,11:00,73,champagny,vanoise,alps,Vanoise,col des vés,"45°26'42.62"" //6°51'41.38""",2830,35-39,NO,4,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,,linéaire,accidentelle soi-même,310,50,100
1516-73-01,2016-01-05,13:58,73,saint colomban les villards,maurienne,alps,Maurienne,pierre du turc / crête de tête bellard,"45°15'09"" / 6°13'26""",2150,40-44,NO,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,,,linéaire,accidentelle soi-même,290,50,
1718-73-08,2018-01-09,14:30,73,valmeinier,haute maurienne,alps,Hte-maurie,piste verte lauze balise 30 31,"45°10'38"" / 6°31'14""",2610,>45,O,12,1,1,0,1,0,piste,"piste (ski, snowboard)",,,sèche,,linéaire,naturelle,270,50,30
1617-73-03,2017-01-14,14:00,73,bonneval sur arc,haute maurienne,alps,Hte-maurie,plan de l'aigle NO Ouille Motta,,2300,40-44,NO,5,2,0,0,0,2,randonnée,hiking,,3,sèche,,linéaire,accidentelle soi-même,240,50,
1617-05-08,2017-03-04,,5,saint chaffrey,pelvoux,alps,Pelvoux,couloir NE sous prorel,"44°54'26.67"" / 6°34'50.41""",2440,35-39,NE,2,2,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",traversée,3,sèche,,linéaire,accidentelle soi-même,210,50,40
1516-88-01,2016-03-03,13:45,88,saint maurice sur moselle,ballon d'alsace,other,other,belvedere de birken,"6°50'46"" / 47°49'26""",1225,>45,E,2,1,0,0,0,1,randonnée,hiking,traversée,,humide,,linéaire,accidentelle soi-même,200,50,
1516-74-06,2016-02-27,18:00,74,saint gervais les bains,mont blanc,alps,Mont-Blanc,mont lachat,32T0328725 / 5081321,2015,30-34,O,1,1,0,0,0,1,randonnée,hiking,montée,3,sèche,tendre,linéaire,accidentelle soi-même,200,50,200
1011-38-05,2011-02-28,,38,corrençon en vercors,vercors,alps,Vercors,rancs de combevieux,"45°00'18.4"" / 5°32'40.5''",1850,30-34,N,4,3,3,1,2,0,hors-piste,"off-piste (ski, snowboard)",traversée,3,sèche,tendre,linéaire,accidentelle soi-même,150,50,70
1011-73-06,2010-12-14,12:50,73,tignes,haute tarentaise,alps,Hte-tarent,grande combe / grande sassière,"45°30'22.2"" 6°58'33.6""",3100,35-39,SO,7,1,1,1,0,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,150,50,60
1718-38-04,2018-02-13,13:45,38,saint christophe en oisans,oisans,alps,Oisans,face est brèche du rateau,"44°59'26"" / 6°17'8""",3140,35-39,SE,5,1,0,0,0,0,randonnée,hiking,descente,2,sèche,tendre,linéaire,accidentelle soi-même,120,50,40
1617-73-05,2017-01-19,11:50,73,saint bon tarentaise,vanoise,alps,Vanoise,col du biol,"45°22'44.52 / 6°41'14.04""",2430,30-34,O,15,1,1,1,0,0,randonnée,hiking,traversée,3,sèche,dure,linéaire,accidentelle soi-même,120,50,30
1718-73-05,2018-01-02,14:10,73,lanslebourg,haute maurienne,alps,Hte-maurie,montagne de montfroid,"45°16'4"" / 6°52'7""",2290,35-39,N,6,2,1,1,0,1,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle tiers,120,50,80
1213-05-07,2013-02-13,14:15,5,arvieux,queyras,alps,Queyras,barre noire villargaudin,44°44'33.1 / 6°44'204,2400,30-34,E,2,1,0,0,0,0,randonnée,hiking,,3,humide,tendre,linéaire,accidentelle soi-même,100,50,50
1314-73-05,2013-12-27,09:55,73,saint martin belleville,vanoise,alps,Vanoise,boismint val thorens,45°16'53.89 / 6°33'14.06,2540,35-39,E,6,3,1,1,0,1,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,100,50,40
1112-38-05,2012-04-20,15:45,38,vaujany,grandes rousses,alps,Gdes-rouss,couloir perrin,32T0272119 5001667,2600,40-44,O,2,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,100,50,40
1011-73-05,2010-12-26,09:34,73,val isère,haute tarentaise,alps,Hte-tarent,combe du signal,"45°25'47.5"" 7°01'40.6""",2740,40-44,N,4,2,2,1,0,1,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,100,50,140
1516-73-02,2016-01-05,11:50,73,val d'isere,haute tarentaise,alps,Hte-tarent,super santon,"44°26'6"" / 6°57'24""",2375,35-39,SE,4,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,4,sèche,tendre,linéaire,accidentelle soi-même,100,50,80
1011-73-21,2010-12-02,11:30,73,tignes,haute tarentaise,alps,Hte-tarent,tovière,,2580,35-39,O,3,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",,,sèche,tendre,linéaire,accidentelle tiers,80,50,50
1415-73-08,2015-01-31,,73,aussois,vanoise,alps,Vanoise,ruisseau de la fournache,"45°15'55.09"" / 6°43'42.25""",2370,30-34,S,1,1,1,1,0,0,relevés EDF / déplacement ski de rando,"cross-country (ski, snowboard etc.)",montée,4,sèche,,linéaire,accidentelle soi-même,50,50,80
1011-74-06,2010-12-22,11:00,74,Hauteluce,mont blanc,alps,Mont-Blanc,col de la fenêtre,,2150,<30,O,2,2,1,0,2,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,50,50,40
1617-05-09,2017-03-07,16:00,5,saint andré d'embrun,embrunais parpaillon,alps,Parpaillon,clos chardon,"44°35'5.73 / 6°38'29.58""",2315,>45,NE,3,2,1,1,0,1,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,dure,linéaire,accidentelle tiers,20,50,120
1314-05-03,2013-12-27,14:50,5,la salle les alpes,pelvoux,alps,Pelvoux,cucumelle,"44°55'51.9"" / 6°31'31.4""",2150,40-44,NE,1,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",montée,3,sèche,dure,linéaire,accidentelle soi-même,15,50,50
1516-73-13,2016-01-27,11:38,73,saint bon courchevel,vanoise,alps,Vanoise,couloir du ruisseau de la planche / vallée des avanchers,"45°22'5"" / 6°39'39""",2490,30-34,NE,9,4,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,2,sèche,tendre,linéaire,accidentelle soi-même,,50,30
1112-73-05,2012-04-09,11:30,73,valmeinier,maurienne,alps,Maurienne,roche noire,,2800,,,2,1,1,1,0,0,randonnée,hiking,,2,sèche,tendre,linéaire,accidentelle soi-même,,50,
1415-73-10,2015-02-02,08:55,73,valloire,haute maurienne,alps,Hte-maurie,secteur Sétaz,,2200,35-39,NE,2,1,0,0,0,1,minage,other,,,sèche,,linéaire,accidentelle soi-même,,50,30
1415-73-11,2015-02-02,15:45,73,saint bon tarentaise,vanoise,alps,Vanoise,hors-piste chanrossa,,2250,,,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,,,,linéaire,accidentelle soi-même,,50,
1314-74-04,2013-12-29,13:50,74,chatel,chablais,alps,Chablais,barbossine,,,,,2,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,,linéaire,accidentelle tiers,,50,
1011-38-04,2011-02-21,14:00,38,les deux alpes,oisans,alps,Oisans,chalance,,2500,30-34,SO,2,2,0,0,0,2,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,80,45,30
1213-73-06,2013-01-30,11:30,73,sainte marie de cuines,maurienne,alps,Maurienne,crête de la raverotte,45°17'34.9'' / 6°16'47.1'',2000,30-34,NO,4,2,0,0,0,2,randonnée,hiking,,,humide,dure,linéaire,accidentelle soi-même,600,40,50
1011-74-10,2011-03-17,15:15,74,chamonix,mont blanc,alps,Mont-Blanc,plan de l'aiguille torrent de blaitiere,"45°54'28.4"" 6°53'42.3""",2230,35-39,N,5,1,0,0,1,0,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,450,40,40
1617-73-08,2017-02-05,14:40,73,modane,haute maurienne,alps,Hte-maurie,couloir en Y du seuil,"45°9'50.76"" / 6°39'56.86""",2240,35-39,NE,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,,linéaire,accidentelle soi-même,430,40,100
1617-73-17,2017-05-09,11:00,73,bonneval sur arc,haute maurienne,alps,Hte-maurie,col du greffier couloir,"45°20'41.38"" / 7°5'44.64""",2990,>45,NO,3,3,0,0,0,3,alpinisme,alpinisme,,,sèche,dure,linéaire,accidentelle soi-même,350,40,100
1213-74-11,2013-04-14,13:10,74,vallorcine,mont blanc,alps,Mont-Blanc,tete de la chevrette,46°01'43.9'' / 6°54'13.3'',1970,30-34,S,4,1,0,0,0,0,randonnée,hiking,,4,humide,tendre,linéaire,accidentelle soi-même,300,40,50
1516-74-01,2016-01-03,12:45,74,chamonix,mont blanc,alps,Mont-Blanc,petite verte grand montets,"45°56'40.4"" / 6°57'46.5",3390,30-34,N,3,3,1,0,1,1,alpinisme,alpinisme,montée,3,sèche,tendre,linéaire,accidentelle soi-même,290,40,50
1516-73-19,2016-04-19,13:05,73,tignes,haute tarentaise,alps,Hte-tarent,rocher de la grande balme,,2880,40-44,N,4,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",,2,sèche,dure,linéaire,accidentelle soi-même,280,40,80
1415-73-05,2015-01-15,15:10,73,tignes,haute tarentaise,alps,Hte-tarent,couloir lac chardonnet,,2550,>45,NE,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,humide,dure,linéaire,accidentelle soi-même,200,40,150
1011-73-15,2011-03-21,12:40,73,lanslebourg,haute maurienne,alps,Hte-maurie,,,2530,,NE,2,2,0,0,0,2,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,180,40,60
1112-26-01,2012-02-05,12:55,26,glandage,vercors,alps,Vercors,jocou,"44°42'43.37""/5°38'51.03""",1680,30-34,S,3,2,1,1,0,1,randonnée,hiking,montée,2,sèche,dure,linéaire,accidentelle soi-même,140,40,100
1415-05-07,2015-02-09,10:45,5,cervières,queyras,alps,Queyras,col de chaudemaison,,2400,30-34,O,3,1,1,1,0,0,randonnée,hiking,traversée,4,sèche,tendre,linéaire,accidentelle soi-même,100,40,50
1415-74-03,2015-01-31,,74,chatel,chablais,alps,Chablais,les combes,"46°13'59.04"" / 6°48'41.50""",1960,35-39,O,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,90,40,80
1718-73-02,2017-12-13,12:44,73,tignes,haute tarentaise,alps,Hte-tarent,pointe de fresse / campanules,"45°26'55"" / 6°55'24""",2550,35-39,SE,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle tiers,80,40,90
1516-04-01,2016-03-05,16:40,4,enchastrayes,ubaye,alps,Ubaye,les roubines / super sauze,"44°20'52.1"" / 6°40'45.4""",1970,40-44,N,2,2,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,tendre,linéaire,accidentelle soi-même,70,40,40
1314-74-05,2013-12-30,12:25,74,sixt,chablais,alps,Chablais,passage du dérochoir,"45°58'04.7"" / 6°44'59.7""",2150,30-34,N,2,1,0,0,0,1,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,60,40,80
1718-38-10,2018-03-04,10:45,38,saint agnès,belledonne,alps,Belledone,lac de crop,"45°12'30"" / 5°59'30""",2000,40-44,NO,2,2,1,1,0,1,randonnée,hiking,,,sèche,dure,linéaire,accidentelle soi-même,60,40,60
1314-73-06,2013-12-27,12:15,73,st bon tarentaise,vanoise,alps,Vanoise,vallée avals,,2100,35-39,NE,2,1,1,1,0,0,accès refuge gardien ski rando,"cross-country (ski, snowboard etc.)",montée,3,sèche,tendre,linéaire,accidentelle soi-même,40,40,40
1011-05-02,2011-01-30,10:00,5,molines,queyras,alps,Queyras,col agnel,32t0339842 4950312,2650,35-39,O,8,4,1,1,0,3,randonnée,hiking,,2,sèche,tendre,linéaire,accidentelle soi-même,30,40,100
1112-38-03,2012-02-17,14:05,38,vaujany,grandes rousses,alps,Gdes-rouss,rissiou,"45°10'.730"" 6°04'903""",2050,35-39,SE,4,1,1,1,0,0,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,30,40,100
1617-73-02,2017-01-13,11:00,73,tignes,haute-tarentaise,alps,Hte-tarent,"secteur palet, entre pentes Lognan et télésiège Tichot",,2400,30-34,SE,3,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,20,40,160
1617-05-01,2016-12-27,15:10,5,cervières,queyras,alps,Queyras,petit peygu face nord est,"44°50'31.11"" / 6°42'25.83""",2570,35-39,NE,5,5,0,0,0,0,randonnée,hiking,descente,3,sèche,dure,linéaire,accidentelle soi-même,,40,30
1011-26-01,2010-12-03,16:00,26,ombleze,vercors,alps,Vercors,roc de toulan,"44°53'26.8"" 05°14'05.4""",1000,30-34,O,1,1,0,0,1,0,randonnée,hiking,montée,,sèche,tendre,linéaire,accidentelle soi-même,,40,40
1415-38-02,2015-02-07,15:00,38,Freney d'Oisans,grandes rousses,alps,Gdes-rouss,grandes buffes,"45°04'06.5"" / 6°06'30.7""",1970,35-39,O,1,1,0,0,0,0,randonnée,hiking,,,sèche,,linéaire,accidentelle soi-même,,40,40
1718-74-01,2017-12-09,,74,Faverges-Seythenex,bauges,alps,Bauges,petite sambuy,,,,,3,3,1,1,0,1,randonnée,hiking,,,,,linéaire,accidentelle soi-même,,40,60
1415-73-14,2015-02-07,13:03,73,peisey nancroix,vanoise,alps,Vanoise,couloir des canadiens face nord bellecote,"45°29'54.4"" // 6°46'15.99""",3050,40-44,NO,3,1,1,0,1,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,1250,30,50
1314-38-03,2014-01-31,15:50,38,revel,belledonne,alps,Belledone,grand colon face ouest,45°09.680 / 5°55.219,2165,30-34,O,2,1,1,1,0,0,randonnée,hiking,descente,2,sèche,dure,linéaire,accidentelle tiers,720,30,30
1314-06-01,2014-01-26,10:10,6,st etienne tinee,mercantour,alps,Mercantour,Auron sous telesiege dôme,"44°12'44.8"" / 6°54'04.8""",2300,35-39,E,2,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,dure,linéaire,accidentelle soi-même,350,30,20
1314-73-08,2014-01-05,14:05,73,macot,vanoise,alps,Vanoise,crête des bourtes,"45°29'56""/6°42'59""",2350,35-39,NO,2,2,1,1,0,1,hors-piste,"off-piste (ski, snowboard)",descente,4,sèche,tendre,linéaire,accidentelle soi-même,250,30,100
1516-73-18,2016-04-05,10:30,73,bessans,haute maurienne,alps,Hte-maurie,piste noire de fond Barmette / couloir issu pointe de Tierce,"45°18'57"" / 7°0'21""",1970,35-39,NO,12,7,0,0,0,3,piste,"piste (ski, snowboard)",,3,humide,tendre,linéaire,naturelle,220,30,120
1617-05-11,2017-03-12,13:55,5,guillestre,embrunais parpaillon,alps,Parpaillon,crête de razis,,,,N,3,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,2,sèche,dure,linéaire,accidentelle soi-même,200,30,50
1718-05-01,2017-12-08,15:15,5,saint véran,queyras,alps,Queyras,pointe des marcelettes,"44°40'5' / 6°51'5""",2550,35-39,NO,2,1,0,0,0,0,randonnée,hiking,descente,,sèche,dure,linéaire,accidentelle soi-même,200,30,40
1011-68-01,2010-12-17,12:40,68,mittlach,hohneck,other,other,couloir du rainkopf,"48°0'260"" 6°58'592""",1300,30-34,E,2,1,0,0,1,0,randonnée,hiking,descente,,sèche,tendre,linéaire,accidentelle soi-même,200,30,30
1213-74-06,2013-02-26,09:30,74,saint gervais,mont blanc,alps,Mont-Blanc,mont lachat,45.86970 / 6.78810,1970,35-39,SO,15,6,0,0,0,0,randonnée,hiking,,1,sèche,tendre,linéaire,accidentelle soi-même,170,30,20
1314-74-02,2013-12-01,12:25,74,avoriaz,chablais,alps,Chablais,pointe de vorlaz,46°10.877 / 6°48.004,2290,35-39,S,2,2,0,0,0,0,randonnée,hiking,montée,,sèche,tendre,linéaire,accidentelle soi-même,150,30,
1718-74-14,2018-03-29,15:00,74,araches la frasse,chablais,alps,Chablais,,,1700,>45,,6,1,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,3,humide,tendre,linéaire,accidentelle soi-même,100,30,
1516-74-08,2016-02-27,11:10,74,la clusaz,aravis,alps,Aravis,combe de la grande forclaz,32T0307842 / 5089692,1980,35-39,NO,3,1,1,1,0,0,randonnée,hiking,descente,,sèche,dure,linéaire,accidentelle soi-même,90,30,40
1718-05-09,2018-03-22,10:35,5,champcella,pelvoux,alps,Pelvoux,vallon de la selle / tête de vautisse,"44°42'5"" / 6°29'27""",2900,30-34,E,2,2,1,1,0,1,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,80,30,40
1011-73-17,2011-03-31,11:10,73,val isère,haute tarentaise,alps,Hte-tarent,solaise,,3000,35-39,SE,2,2,1,0,1,1,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,80,30,50
1213-38-04,2013-01-20,13:50,38,auris en oisans,grandes rousses,alps,Gdes-rouss,signal de l'homme,45°03.931'' // 6°04.543',1790,35-39,SO,6,3,3,3,0,0,hors-piste,"off-piste (ski, snowboard)",,3,humide,dure,linéaire,accidentelle soi-même,60,30,20
1718-38-03,2018-01-17,,38,chamrousse,belledonne,alps,Belledone,brèche robert sud,"45°8'0'' / 5°54'38""",2000,35-39,NO,1,1,1,1,0,0,randonnée,hiking,,3,sèche,tendre,linéaire,accidentelle soi-même,40,30,80
1213-73-18,2013-03-19,15:55,73,saint martin de belleville (val thorens),vanoise,alps,Vanoise,lac du lou,32T0306717 / 5018817,1990,40-44,NO,5,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",descente,,sèche,tendre,linéaire,accidentelle soi-même,15,30,80
1314-73-19,2014-03-06,10:40,73,peisey,vanoise,alps,Vanoise,nord bellecote,"45°29'43.72"" / 6°46'39.49""",3150,40-44,N,3,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",descente,3,sèche,tendre,linéaire,accidentelle soi-même,,30,30
1314-05-06,2014-01-26,,5,st etienne dévoluy,dévoluy,alps,Devoluy,vallon d'ane,,,,,2,1,0,0,0,0,randonnée,hiking,,,sèche,,linéaire,accidentelle soi-même,,30,40
1718-74-02,2018-02-13,,74,chamonix,mont blanc,alps,Mont-Blanc,balme combe d'arve,,,,,2,2,0,0,0,1,hors-piste,"off-piste (ski, snowboard)",descente,,,,linéaire,accidentelle soi-même,,30,20
1314-05-07,2014-01-28,13:00,5,réallon,champsaur,alps,Champsaur,col coupa,,,,,5,2,0,0,0,2,randonnée,hiking,,,sèche,,linéaire,accidentelle soi-même,,30,
1516-73-06,2016-01-17,16:30,73,saint martin de belleville,vanoise,alps,Vanoise,piste david douillet,,,,,1,1,0,0,0,0,piste,"piste (ski, snowboard)",descente,3,,,linéaire,,,30,
1415-73-02,2014-12-22,12:35,73,modane,vanoise,alps,Vanoise,lac de chavière,45°16'10.70 // 6°38'09.40,3100,35-39,SE,5,2,1,1,0,1,randonnée,hiking,descente,2,sèche,dure,linéaire,accidentelle soi-même,300,25,100
1213-74-08,2013-03-22,12:45,74,samoens,chablais,alps,Chablais,couloir pas de la latte,46°08'16'' / 6°47'34'',2000,40-44,NO,2,1,0,0,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,dure,linéaire,accidentelle soi-même,300,25,70
1112-38-02,2012-02-17,08:25,38,saint pierre de chartreuse,chartreuse,alps,Chartreuse,combe bovinant,"45°22'52.35"" 5°48'52.64""",1774,35-39,O,1,1,1,1,0,0,randonnée,hiking,,3,sèche,dure,linéaire,accidentelle soi-même,165,25,40
1718-73-11,2018-02-18,12:06,73,épierre,maurienne,alps,Maurienne,faux gros villan,"45°26'44"" / 6°21'01""",2550,40-44,NO,4,1,0,0,0,0,randonnée,hiking,descente,3,sèche,tendre,linéaire,accidentelle soi-même,130,25,30
1415-74-10,2015-04-18,10:45,74,chamonix,mont blanc,alps,Mont-Blanc,face nord aiguille grands montets,32T 341954 / 5090431,3230,40-44,NE,2,1,0,0,0,1,equipement piste,other,descente,2,humide,tendre,linéaire,accidentelle soi-même,100,25,20
1011-38-01,2010-12-05,11:45,38,st pierre de chartreuse,chartreuse,alps,Chartreuse,col des ayes,"45°18'39.7"" 5°50'23.9""",1570,35-39,NE,3,3,3,3,0,0,randonnée,hiking,,,sèche,tendre,linéaire,accidentelle soi-même,100,25,50
1011-68-02,2010-12-28,13:45,68,Metzeral,hohneck,other,other,wormspel,"7°1'13.8"" 48°2'16""",1244,35-39,NE,5,1,0,0,1,0,alpinisme,alpinisme,traversée,,sèche,tendre,linéaire,accidentelle soi-même,90,25,25
1213-74-09,2013-03-22,09:35,74,chamonix,mont blanc,alps,Mont-Blanc,carlaveyron,6°49'29.9'' // 45°55'59.8'',2070,40-44,O,2,1,0,0,0,1,randonnée,hiking,,2,sèche,tendre,linéaire,accidentelle soi-même,50,25,80
1213-73-19,2013-03-19,15:05,73,les avanchers,maurienne,alps,Maurienne,hors piste des lauzières,32T 295042 / 5035497,1825,30-34,NE,6,1,1,1,0,0,hors-piste,"off-piste (ski, snowboard)",,3,sèche,tendre,linéaire,accidentelle soi-même,30,25,60
